Monthly & Weekly Sales & Production Planner Tracking Sheet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;01st Dec 25;;;;;08th Dec 25;;;;;15th Dec 25;;;;;22nd Dec 25;;;;;Dec-25;;;;;;;
Dec-25;;;;;Week 1;;;;;Week 2;;;;;Week 3;;;;;Week 4;;;;;Performance Analysis for the Month;;;;Carry over items to Jan-26;;;
;;;;;Target;Target;Actual;Actual;Comment/Action plan (week 1);Target;Target;Actual;Actual;Comment/Action plan (week 2);Target;Target;Actual;Actual;Comment/Action plan (week 3);Target;Target;Actual;Actual;Comment/Action plan (week 4);Target;Target;Actual;Actual;(Exclude from Dec-25 target);;Comment;Action Plan
Sales Order #;Customer ;Product Type;Quantity;Amount;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;Qty;Amount;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
